股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌额,换手率,涨跌幅
600000,2026/3/2,123.68307279,123.55543288,124.70419207,122.27903378,73404604,710795803.74,1.9547,-0.5106,0.2204,-0.4115
600000,2026/3/3,123.30015306,124.19363243,125.34239162,122.66195351,112936428,1098196732.02,2.1694,0.6382,0.3391,0.5165
600000,2026/3/4,123.68307279,122.5343136,123.8107127,120.36443513,161755557,1544304016.81,2.7749,-1.6593,0.4857,-1.3361
600000,2026/3/5,122.02375396,124.83183198,125.21475171,122.02375396,119745268,1163684549.19,2.6042,2.2975,0.3595,1.875
600009,2026/3/2,79.960946,79.430701,80.0139705,79.2716275,18355899,550876907.3,0.9177,-1.4582,0.897,-1.8027
600009,2026/3/3,79.45721325,79.324652,80.0139705,79.2716275,12251638,367606428.21,0.9346,-0.106,0.5987,-0.1335
600009,2026/3/4,78.9534805,77.76042925,78.9534805,77.6808925,13919424,410175712.24,1.6043,-1.5642,0.6802,-1.9719
600009,2026/3/5,78.18462525,77.8929905,78.5292845,77.839966,7921264,233367925.57,0.8865,0.1326,0.3871,0.1705
600010,2026/3/2,23.533536,24.04041216,24.69211008,22.66460544,3360457181,11021266194.14,8.642,0.5793,10.7086,2.4691
600010,2026/3/3,23.67835776,21.79567488,23.96800128,21.65085312,2832596171,8824403310.73,9.6386,-2.2447,9.0265,-9.3373
600010,2026/3/4,21.43362048,22.37496192,23.533536,21.3612096,2160187298,6710149583.2,9.9668,0.5793,6.8838,2.6578
600010,2026/3/5,22.8094272,22.4473728,23.46112512,22.15772928,1548720987,4834324286.61,5.8252,0.0724,4.9353,0.3236
